#FILE	NUM_FOUND	AAC(3)-IId	AAC(3)-IIe	AAC(3)-IV	AAC(3)-VIa	AAC(6')-Ib-cr	AAC(6')-Ib10	ANT(3'')-IIa	APH(3'')-Ib	APH(3')-IIa	APH(3')-Ia	APH(4)-Ia	APH(6)-Id	CMY-59	CRP	CTX-M-14	CTX-M-15	CTX-M-55	Erm(42)	ErmB	Escherichia_coli_acrA	Escherichia_coli_ampC	Escherichia_coli_ampC1_beta-lactamase	Escherichia_coli_ampH	Escherichia_coli_emrE	Escherichia_coli_mdfA	FosA3	H-NS	KPC-3	MCR-1	NDM-1	NDM-5	OXA-1	QnrB5	QnrS1	SAT-1	SHV-134	TEM-1	TEM-150	Tet(X4)	aadA2	aadA22	aadA5	acrB	acrD	acrE	acrF	acrS	arr-3	bacA	baeR	baeS	catB3	catI	cmlA1	cmlA6	cpxA	determinant_of_bleomycin_resistance	dfrA1	dfrA12	dfrA14	dfrA17	dfrA5	emrA	emrB	emrK	emrR	emrY	eptA	evgA	evgS	floR	gadW	gadX	kdpE	linG	lnuG	marA	mdtA	mdtB	mdtC	mdtE	mdtF	mdtG	mdtH	mdtM	mdtN	mdtO	mdtP	mefB	mphA	mphB	msbA	pmrF	qacH	rmtC	sul1	sul2	sul3	tet(A)	tet(B)	tetM	tolC	ugd	yojI
GCA_002994925.1.fna_Res	60	97.1	.	100	.	.	.	.	100	.	.	100	100	.	100	100	.	.	.	.	100	100	100	100	.	100	100	100	.	100	.	100	.	.	.	.	.	.	.	.	.	.	.	100	100	100	99.77	100	.	99.76	100	100	.	.	.	.	100	100	100	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	.	.	100	100	.	100	.	.	100	100	100
GCA_014219485.1.fna_Res	59	100	.	.	.	.	.	99.28	.	.	.	.	.	.	100	.	.	100	100	99.87	100	100	100	100	100	100	.	100	.	.	.	.	.	.	100	.	.	100	.	100	.	.	.	100	100	100	99.97	100	.	100	100	100	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	100	100	100	.	.	100	100	100	100	100	100	100	100	100	.	.	.	100	100	97.8	.	.	100	100	100
GCA_014219525.1.fna_Res	53	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	100	.	100	.	.	.	.	.	.	100	.	.	100	.	100	.	.	.	100	100	100	99.97	100	.	100	100	100	.	.	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	100	100	100	.	.	100	100	100	100	100	.	100	100	100	.	.	.	.	100	97.8	.	100	100	100	100
GCA_014219545.1.fna_Res	54	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	100	100	100	100	100	.	100	100	100	.	.	100	.	100	.	.	100	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	92.58	.	100	100	100	100	100	100	100	100	98.3	100	100	100	.	.	99.58	100	100	100	.	.	.	100	97.8	.	.	100	100	100
GCA_014219555.1.fna_Res	55	100	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	100	.	.	.	.	100	100	.	.	100	100	100	100	100	.	100	100	100	.	.	100	.	100	.	.	100	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	100	100	100	100	100	100	100	100	100	100	100	100	.	.	99.58	100	100	100	.	.	.	100	97.8	.	.	100	.	100
GCA_016805945.1.fna_Res	63	.	100	.	.	100	.	.	100	100	.	.	100	.	100	.	.	100	.	.	100	100	100	100	100	100	.	100	.	100	.	.	100	100	.	.	.	100	.	.	.	.	.	100	100	100	100	100	100	100	100	100	100	.	.	.	100	.	.	.	100	.	.	100	100	100	100	100	100	100	100	100	100	100	90.12	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	100	100	100	100	.	.	100	100	.	97.8	.	.	100	.	100
GCA_016805965.1.fna_Res	54	.	.	.	.	.	.	.	100	100	.	.	100	.	100	.	.	100	.	.	100	100	100	100	100	100	.	100	.	100	.	.	.	.	.	.	.	.	.	.	.	.	.	100	100	100	100	100	.	100	100	100	.	.	.	.	100	.	.	.	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	.	.	.	100	.	97.8	.	.	100	.	100
GCA_023516035.1.fna_Res	57	.	.	.	.	.	.	.	100	.	.	.	100	.	100	.	.	.	100	.	100	100	100	100	100	100	.	100	.	.	.	.	.	.	.	.	.	.	.	100	100	.	.	100	100	100	100	100	.	99.76	100	100	.	.	100	.	100	.	.	100	.	.	.	100	100	100	100	100	100	100	100	100	100	100	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	100	100	100	100	.	.	.	100	97.8	.	.	100	100	100
GCA_023516055.1.fna_Res	54	.	.	.	.	.	.	.	.	.	.	.	.	.	100	.	.	.	.	.	100	100	100	100	.	100	.	100	.	.	.	.	.	.	100	.	.	100	.	.	100	.	.	100	100	100	100	100	.	99.76	100	100	.	.	100	.	100	.	.	100	.	.	.	100	100	.	100	.	100	100	100	100	100	100	99.26	.	.	100	100	100	100	100	100	100	100	100	100	100	100	.	.	99.58	100	100	100	.	.	100	100	97.8	.	100	100	100	100
GCA_023516075.1.fna_Res	61	100	.	.	.	.	.	99.07	.	.	99.75	.	.	.	100	100	.	.	.	.	100	100	100	100	100	100	.	100	.	.	.	.	.	.	100	.	.	100	.	100	100	.	.	100	100	100	100	100	.	100	100	100	.	.	100	.	100	.	.	100	.	.	.	100	100	100	100	100	100	100	100	100	100	100	100	92.58	.	100	100	100	100	100	100	100	100	98.3	100	99.95	100	100	.	100	100	100	100	.	.	.	100	100	.	.	100	.	100
