#FILE,Class
1284787.3.fna.vcf,0
1284788.3.fna.vcf,0
1284789.4.fna.vcf,0
1284790.3.fna.vcf,0
1284791.4.fna.vcf,0
1284792.4.fna.vcf,0
1284793.4.fna.vcf,0
1284794.4.fna.vcf,0
1284795.4.fna.vcf,0
1284796.3.fna.vcf,0
1284797.4.fna.vcf,0
1284798.4.fna.vcf,0
1284799.4.fna.vcf,0
1284800.4.fna.vcf,0
1284801.3.fna.vcf,0
1284802.4.fna.vcf,0
1284803.4.fna.vcf,0
1284804.4.fna.vcf,0
1284805.4.fna.vcf,0
1284806.4.fna.vcf,0
1284807.4.fna.vcf,0
1284808.4.fna.vcf,0
1284809.4.fna.vcf,0
1284810.3.fna.vcf,0
1284811.3.fna.vcf,0
1438758.3.fna.vcf,1
573.18476.fna.vcf,1
573.18541.fna.vcf,1
573.24321.fna.vcf,1
573.24336.fna.vcf,1
573.24351.fna.vcf,1
573.24354.fna.vcf,1
573.25569.fna.vcf,1
573.5624.fna.vcf,1
573.5636.fna.vcf,1
573.5661.fna.vcf,1
573.5663.fna.vcf,1
573.5677.fna.vcf,1
573.5687.fna.vcf,1
573.5701.fna.vcf,1
573.5705.fna.vcf,1
573.5763.fna.vcf,1
573.5766.fna.vcf,1
573.5767.fna.vcf,1
573.5770.fna.vcf,1
573.5778.fna.vcf,1
573.5800.fna.vcf,1
573.5802.fna.vcf,1
573.5807.fna.vcf,1
573.5818.fna.vcf,1
