#FILE,Class
1352.16268.fna.vcf,1
1352.16272.fna.vcf,1
GCA_013326655.1.fna.vcf,1
GCA_015339745.1.fna.vcf,1
GCA_015340065.1.fna.vcf,1
GCA_015340105.1.fna.vcf,1
GCA_015340145.1.fna.vcf,1
GCA_015340155.1.fna.vcf,1
GCA_015340185.1.fna.vcf,1
GCA_015340205.1.fna.vcf,1
GCA_015340225.1.fna.vcf,1
GCA_015340245.1.fna.vcf,1
GCA_015340265.1.fna.vcf,1
GCA_015340275.1.fna.vcf,1
GCA_015340325.1.fna.vcf,1
GCA_015340345.1.fna.vcf,1
GCA_015340365.1.fna.vcf,1
GCA_015340385.1.fna.vcf,1
GCA_015340405.1.fna.vcf,1
GCA_015340425.1.fna.vcf,1
GCA_015340445.1.fna.vcf,1
GCA_015340465.1.fna.vcf,1
1352.11084.fna.vcf,0
1352.11088.fna.vcf,0
1352.11089.fna.vcf,0
1352.11090.fna.vcf,0
1352.1762.fna.vcf,0
1352.1763.fna.vcf,0
1352.1764.fna.vcf,0
1352.1765.fna.vcf,0
1352.1766.fna.vcf,0
1352.1767.fna.vcf,0
1352.1768.fna.vcf,0
1352.1769.fna.vcf,0
1352.1770.fna.vcf,0
1352.1771.fna.vcf,0
1352.1772.fna.vcf,0
1352.1773.fna.vcf,0
1352.1774.fna.vcf,0
1352.1775.fna.vcf,0
1352.1776.fna.vcf,0
1352.1777.fna.vcf,0
1352.1778.fna.vcf,0
1352.1779.fna.vcf,0
1352.1780.fna.vcf,0
1352.1781.fna.vcf,0
1352.1782.fna.vcf,0
