#FILE	NUM_FOUND	AAC(3)-IId	AAC(3)-IIe	AAC(3)-Ia	AAC(6')-Ian	AAC(6')-Ib7	ADC-10	ADC-25	ADC-30	ADC-56	ADC-6	ADC-74	ADC-76	ADC-79	ANT(2'')-Ia	APH(3'')-Ib	APH(3')-Ia	APH(3')-VI	APH(3')-VIa	APH(6)-Id	Acinetobacter_baumannii_AbaF	Acinetobacter_baumannii_AbaQ	Acinetobacter_baumannii_AmvA	CARB-3	CARB-4	CMY-59	OXA-115	OXA-23	OXA-237	OXA-24	OXA-58	OXA-65	OXA-66	OXA-68	OXA-69	OXA-71	TEM-1	TEM-12	abeM	abeS	adeA	adeB	adeC	adeF	adeG	adeH	adeI	adeJ	adeK	adeL	adeN	adeR	adeS	armA	catB3	catB8	catI	dfrA16	floR	mphE	msrE	sul1	sul2	tet(39)	tet(A)	tet(B)
1398943.3.fna.tab	29	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	.	.	.	99.50
1398944.3.fna.tab	29	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	99.75	.	100.00	100.00	100.00	.	100.00	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	98.07	.	.	.	.	.	.	100.00	100.00	.	100.00	.	.	99.50
1398948.3.fna.tab	31	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	.	.	.	99.50
1398951.3.fna.tab	31	.	100.00	.	100.00	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.80	100.00	100.00	98.07	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	.	.	.
1398956.3.fna.tab	32	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	98.91	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	.	.	.	99.50
1398978.3.fna.tab	32	.	100.00	.	100.00	.	.	.	.	.	100.00	.	.	.	100.00	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	100.00	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	99.80	100.00	100.00	98.07	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	.	.	.
1398982.3.fna.tab	32	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	.	.	.	99.50
1398984.3.fna.tab	33	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	100.00	100.00	100.00	100.00	100.00	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	98.91	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1320.fna.tab	31	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
470.1321.fna.tab	32	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	100.00	100.00	100.00	100.00	.	.	.	.	.	100.00	.	.	.	100.00	.	.	.	.	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	100.00	.	100.00	98.07	100.00	.	100.00	.	.	.	100.00	100.00	100.00	100.00	.	.	99.50
