#FILE,Class
GCA_002994925.1.fna_Res,1
GCA_014219485.1.fna_Res,1
GCA_014219525.1.fna_Res,1
GCA_014219545.1.fna_Res,1
GCA_014219555.1.fna_Res,1
GCA_016805945.1.fna_Res,1
GCA_016805965.1.fna_Res,1
GCA_023516035.1.fna_Res,1
GCA_023516055.1.fna_Res,1
GCA_023516075.1.fna_Res,1
GCA_023516095.1.fna_Res,1
GCA_023516115.1.fna_Res,1
GCA_023516135.1.fna_Res,1
GCA_028922145.1.fna_Res,1
GCA_029194705.1.fna_Res,1
GCA_029194845.1.fna_Res,1
GCA_029194865.1.fna_Res,1
GCA_034365465.1.fna_Res,1
GCA_034365485.1.fna_Res,1
GCA_034365505.1.fna_Res,1
GCA_034365565.1.fna_Res,1
GCA_034365585.1.fna_Res,1
GCA_034365605.1.fna_Res,1
GCA_034365625.1.fna_Res,1
GCA_034365645.1.fna_Res,1
562.22428.fna_Sus,0
562.22429.fna_Sus,0
562.22430.fna_Sus,0
562.22431.fna_Sus,0
562.22432.fna_Sus,0
562.22433.fna_Sus,0
562.22434.fna_Sus,0
562.22435.fna_Sus,0
562.22436.fna_Sus,0
562.22437.fna_Sus,0
562.22438.fna_Sus,0
562.22439.fna_Sus,0
562.22440.fna_Sus,0
562.22441.fna_Sus,0
562.22442.fna_Sus,0
562.22443.fna_Sus,0
562.22444.fna_Sus,0
562.22445.fna_Sus,0
562.22446.fna_Sus,0
562.22447.fna_Sus,0
562.22448.fna_Sus,0
1328432.3.fna_Sus,0
1328433.3.fna_Sus,0
1328434.3.fna_Sus,0
1438684.3.fna_Sus,0
