#FILE,Class
1352.16268.fna.tab,1
1352.16272.fna.tab,1
GCA_013326655.1.fna.tab,1
GCA_015339745.1.fna.tab,1
GCA_015340065.1.fna.tab,1
GCA_015340105.1.fna.tab,1
GCA_015340145.1.fna.tab,1
GCA_015340155.1.fna.tab,1
GCA_015340185.1.fna.tab,1
GCA_015340205.1.fna.tab,1
GCA_015340225.1.fna.tab,1
GCA_015340245.1.fna.tab,1
GCA_015340265.1.fna.tab,1
GCA_015340275.1.fna.tab,1
GCA_015340325.1.fna.tab,1
GCA_015340345.1.fna.tab,1
GCA_015340365.1.fna.tab,1
GCA_015340385.1.fna.tab,1
GCA_015340405.1.fna.tab,1
GCA_015340425.1.fna.tab,1
GCA_015340445.1.fna.tab,1
GCA_015340465.1.fna.tab,1
1352.11084.fna.tab,0
1352.11088.fna.tab,0
1352.11089.fna.tab,0
1352.11090.fna.tab,0
1352.1762.fna.tab,0
1352.1763.fna.tab,0
1352.1764.fna.tab,0
1352.1765.fna.tab,0
1352.1766.fna.tab,0
1352.1767.fna.tab,0
1352.1768.fna.tab,0
1352.1769.fna.tab,0
1352.1770.fna.tab,0
1352.1771.fna.tab,0
1352.1772.fna.tab,0
1352.1773.fna.tab,0
1352.1774.fna.tab,0
1352.1775.fna.tab,0
1352.1776.fna.tab,0
1352.1777.fna.tab,0
1352.1778.fna.tab,0
1352.1779.fna.tab,0
1352.1780.fna.tab,0
1352.1781.fna.tab,0
1352.1782.fna.tab,0
